Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
강구성,FALSE,FALSE,N,2015,NC,22,,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.254,35.3,0.17,"2,700",-0.4,0,0,-0.5,0,0,0,-0.4,-0.4,0.3,-0.2,10.69,0,-0.02,-0.02,-0.02,0,-0.02
강구성,FALSE,FALSE,N,2016,NC,23,DH,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-133.8,0,"2,700",-1,0,0,-1,0.2,-0.1,0.1,-0.8,-0.9,0.2,-0.7,10.85,-0.1,-0.08,-0.08,-0.08,0.01,-0.07
강구성,FALSE,FALSE,N,2017,NC,24,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,-0.01,"2,700",0,0,0,0,0,0,0,0,0,0.1,0.1,10.87,0,0,0,0,0,0
강구성,TRUE,FALSE,N,2018,NC,25,,4,5,5,0,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0.2,0.2,0.4,0.6,0.248,36.5,-0.12,"2,700",-0.4,0,0,-0.4,0,0,0,-0.4,-0.5,0.3,-0.2,11.1,0,-0.02,-0.02,-0.02,0,-0.02
김사훈,FALSE,TRUE,N,2012,롯데,25,C,17,15,15,0,4,1,0,0,5,2,0,0,0,0,0,7,0,0,0,0.267,0.267,0.333,0.6,0.281,69.8,,,-0.5,0,-0.1,-0.5,0,0.3,0.3,-0.5,-0.3,0.7,0.4,9.17,0,0.02,0.02,0.05,0,0.05
김사훈,FALSE,TRUE,N,2013,롯데,26,C,17,35,29,2,3,1,0,0,4,1,0,0,4,1,0,8,1,1,0,0.103,0.235,0.138,0.373,0.198,3.5,,"2,700",-4,0,-0.1,-4.2,0,0.7,0.7,-4.2,-3.4,1.7,-1.7,9.97,-0.3,-0.23,-0.24,-0.17,0,-0.17
김사훈,FALSE,TRUE,N,2014,롯데,27,C,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.313,76.6,0.04,"2,900",-0.1,0,0,-0.1,-0.2,0,-0.1,-0.3,-0.2,0.2,-0.1,11.41,0,0.01,0.01,0.01,-0.01,0
김사훈,FALSE,TRUE,N,2016,롯데,29,C,19,36,28,5,9,1,0,0,10,4,0,0,3,0,0,6,1,5,0,0.321,0.387,0.357,0.744,0.307,68,-0.05,"2,900",-1.6,0,-0.9,-2.5,-0.7,1,0.2,-3.2,-2.2,2.1,-0.2,11.2,-0.2,0,-0.07,0.02,-0.06,-0.05
김사훈,FALSE,TRUE,N,2017,롯데,30,C,57,89,76,1,14,3,0,0,17,8,1,0,6,1,0,21,2,5,1,0.184,0.25,0.224,0.474,0.215,10.6,-0.97,"2,900",-10.8,0.2,0,-10.6,-1.3,2.2,0.9,-11.9,-9.7,4.9,-4.8,10.75,-0.9,-0.64,-0.61,-0.41,-0.12,-0.53
김사훈,FALSE,TRUE,N,2018,롯데,31,C,56,79,74,7,17,3,0,0,20,6,0,0,1,1,0,22,0,3,0,0.23,0.25,0.27,0.52,0.229,20.3,-0.69,"4,000",-8.9,0,-1.2,-10,-2.2,2.2,0.1,-12.2,-10,4.5,-5.5,11.08,-0.9,-0.47,-0.58,-0.38,-0.19,-0.57
